[49.2845183837, -123.144079496]
[49.2845195049, -123.144045114]
[49.2845548903, -123.144071625]
[49.284520626, -123.144010732]
[49.2845913969, -123.144063754]
[49.2845217472, -123.14397635]
[49.2846279035, -123.144055883]
[49.2845228684, -123.143941968]
[49.2846644102, -123.144048012]
[49.2845239895, -123.143907586]
[49.2847009168, -123.14404014]
[49.2845251107, -123.143873204]
[49.2847374234, -123.144032269]
[49.2845262319, -123.143838822]
[49.28477393, -123.144024398]
[49.284527353, -123.14380444]
[49.2848104366, -123.144016527]
[49.2845284742, -123.143770058]
[49.2848469432, -123.144008655]
[49.2845295953, -123.143735676]
[49.2848834498, -123.144000784]
[49.2845307165, -123.143701294]
[49.2849199564, -123.143992913]
[49.2845318377, -123.143666911]
[49.2849564631, -123.143985042]
[49.2845329588, -123.143632529]
[49.2849929697, -123.14397717]
[49.28453408, -123.143598147]
[49.2850294763, -123.143969299]
[49.2845352012, -123.143563765]
[49.2850659829, -123.143961428]
[49.2845363223, -123.143529383]
[49.2851024895, -123.143953557]
[49.2845374435, -123.143495001]
[49.2851389961, -123.143945685]
[49.2845378299, -123.143483106]
[49.2851755027, -123.143937814]
[49.2852120093, -123.143929943]
[49.2852120093, -123.143929942]
[49.2852120093, -123.143929942]
[49.2851913976, -123.14391628]
[49.2852051269, -123.14391414]
[49.2851707859, -123.143902619]
[49.2851982445, -123.143898337]
[49.2851501741, -123.143888958]
[49.2851913622, -123.143882535]
[49.2851295624, -123.143875297]
[49.2851844798, -123.143866733]
[49.2851089507, -123.143861635]
[49.2851775974, -123.143850931]
[49.285088339, -123.143847974]
[49.2851707151, -123.143835128]
[49.2850677273, -123.143834313]
[49.2851638327, -123.143819326]
[49.2850471156, -123.143820651]
[49.2851569503, -123.143803524]
[49.2850265039, -123.14380699]
[49.285150068, -123.143787722]
[49.2850058922, -123.143793329]
[49.2851431856, -123.143771919]
[49.2849852805, -123.143779668]
[49.2851363032, -123.143756117]
[49.2849646688, -123.143766006]
[49.2851294209, -123.143740315]
[49.2849440571, -123.143752345]
[49.2851225385, -123.143724513]
[49.2849234454, -123.143738684]
[49.2851156561, -123.143708711]
[49.2849028337, -123.143725023]
[49.2851087738, -123.143692908]
[49.284882222, -123.143711361]
[49.2851018914, -123.143677106]
[49.2848616103, -123.1436977]
[49.285095009, -123.143661304]
[49.2848409986, -123.143684039]
[49.2850881267, -123.143645502]
[49.2848203869, -123.143670378]
[49.2850812443, -123.1436297]
[49.2847997752, -123.143656717]
[49.2850743619, -123.143613897]
[49.2847791635, -123.143643055]
[49.2850674796, -123.143598095]
[49.2847585518, -123.143629394]
[49.2850605972, -123.143582293]
[49.2847379401, -123.143615733]
[49.2850537148, -123.143566491]
[49.2847173284, -123.143602072]
[49.2850468325, -123.143550689]
[49.2846967167, -123.143588411]
[49.2850399501, -123.143534886]
[49.284676105, -123.143574749]
[49.2850330677, -123.143519084]
[49.2846554933, -123.143561088]
[49.2850261854, -123.143503282]
[49.2846348816, -123.143547427]
[49.285019303, -123.14348748]
[49.2846142699, -123.143533766]
[49.2850124206, -123.143471678]
[49.2845936582, -123.143520105]
[49.2850055383, -123.143455875]
[49.2845730465, -123.143506444]
[49.2849986559, -123.143440073]
[49.2845524348, -123.143492783]
[49.2849917735, -123.143424271]
[49.2845378299, -123.143483106]
[49.2849848912, -123.143408469]
[49.2849780076, -123.143392668]
[49.2852120093, -123.143929942]
[49.2851995399, -123.143901312]
[49.2852138094, -123.143899426]
[49.2851870706, -123.143872681]
[49.2852156096, -123.14386891]
[49.2851746012, -123.143844051]
[49.2852174098, -123.143838394]
[49.2851621319, -123.143815421]
[49.28521921, -123.143807878]
[49.2851496626, -123.143786791]
[49.2852210102, -123.143777362]
[49.2851371932, -123.143758161]
[49.2852228104, -123.143746846]
[49.2851247239, -123.143729531]
[49.2852246106, -123.14371633]
[49.2851122545, -123.1437009]
[49.2852264108, -123.143685814]
[49.2850997852, -123.14367227]
[49.285228211, -123.143655298]
[49.2850873159, -123.14364364]
[49.2852300111, -123.143624782]
[49.2850748465, -123.14361501]
[49.2852318113, -123.143594266]
[49.2850623772, -123.14358638]
[49.2852336115, -123.14356375]
[49.2850499078, -123.14355775]
[49.2852354117, -123.143533234]
[49.2850374385, -123.14352912]
[49.2852372119, -123.143502718]
[49.2850249691, -123.14350049]
[49.2852390121, -123.143472202]
[49.2850124998, -123.143471859]
[49.2852408123, -123.143441686]
[49.2850000305, -123.143443229]
[49.2852426125, -123.14341117]
[49.2849875611, -123.143414599]
[49.2852444127, -123.143380654]
[49.2849780076, -123.143392668]
[49.2852462128, -123.143350138]
[49.2849852805, -123.143779668]
[49.285248013, -123.143319622]
[49.2851363032, -123.143756117]
[49.2852480115, -123.143319622]
[49.2852120093, -123.143929942]
[49.2852140318, -123.143895656]
[49.2852290702, -123.143895806]
[49.2852160544, -123.143861371]
[49.2852461311, -123.14386167]
[49.2852180769, -123.143827085]
[49.2852631921, -123.143827535]
[49.2852200995, -123.143792799]
